Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
Maine,3,2,0,54 | 87,0 | 0 | 0,0,6 | 10 | 16,0,108
,,,,2 | 71 | 14,,,,,
Maryland,9,12,34,401 | 869,0 | 0 | 0,0,18 | 14 | 32,0,956
,,,,117 | 687 | 65,,,,,
Massachusetts,11,22,6,"430 | 1,005",0 | 1 | 1,1,23 | 13 | 36,0,"1,082"
,,,,58 | 872 | 75,,,,,
Michigan,11,26,241,326 | 784,0 | 2 | 2,0,42 | 70 | 112,0,"1,176"
,,,,134 | 621 | 29,,,,,
Minnesota,6,22,289,238 | 509,0 | 0 | 0,0,14 | 34 | 48,0,874
,,,,127 | 329 | 53,,,,,
Mississippi,4,8,3,33 | 36,0 | 0 | 0,1,20 | 94 | 114,0,166
,,,,2 | 33 | 1,,,,,
Missouri,4,22,99,187 | 526,0 | 0 | 0,0,18 | 51 | 69,0,720
,,,,24 | 465 | 37,,,,,
Montana,7,2,2,15 | 45,0 | 0 | 0,0,11 | 46 | 57,0,113
,,,,0 | 15 | 28,,,,,
Nebraska,3,11,82,32 | 57,0 | 0 | 0,0,9 | 18 | 27,0,180
,,,,8 | 49 | 0,,,,,
Nevada,4,8,20,130 | 357,0 | 0 | 0,2,14 | 20 | 34,0,425
,,,,18 | 297 | 42,,,,,
New Hampshire,4,3,0,73 | 131,0 | 0 | 0,0,11 | 7 | 18,0,156
,,,,11 | 87 | 33,,,,,
New Jersey,5,27,5,204 | 423,0 | 0 | 0,0,13 | 7 | 20,0,480
,,,,41 | 312 | 70,,,,,
New Mexico,6,15,10,34 | 97,0 | 0 | 0,1,19 | 39 | 58,0,187
,,,,30 | 22 | 45,,,,,
New York,36,87,86,"603 | 1,281",0 | 1 | 1,0,30 | 50 | 80,0,"1,571"
,,,,"103 | 1,107 | 71",,,,,
North Carolina,130,43,26,348 | 829,0 | 0 | 0,1,31 | 84 | 115,0,"1,144"
,,,,74 | 664 | 91,,,,,
North Dakota,3,1,53,4 | 5,0 | 0 | 0,0,5 | 19 | 24,0,86
,,,,0 | 5 | 0,,,,,
Ohio,12,54,136,193 | 350,0 | 1 | 1,3,43 | 61 | 104,0,660
,,,,18 | 264 | 68,,,,,
Oklahoma,5,112,31,44 | 82,0 | 0 | 0,1,68 | 68 | 136,0,367
,,,,6 | 50 | 26,,,,,
Oregon,25,15,8,"464 | 1,096",0 | 0 | 0,3,20 | 31 | 51,0,"1,198"
,,,,161 | 788 | 147,,,,,
Pennsylvania,6,60,37,276 | 484,0 | 1 | 1,1,62 | 45 | 107,0,696
,,,,13 | 423 | 48,,,,,
Rhode Island,6,5,0,68 | 178,0 | 0 | 0,0,6 | 2 | 8,0,197
,,,,25 | 144 | 9,,,,,
South Carolina,27,11,68,180 | 328,0 | 2 | 2,1,16 | 40 | 56,0,493
,,,,14 | 293 | 21,,,,,
South Dakota,2,0,80,19 | 36,0 | 0 | 0,0,3 | 20 | 23,0,141
,,,,0 | 22 | 14,,,,,
Tennessee,35,21,69,384 | 867,0 | 0 | 0,0,37 | 61 | 98,0,"1,090"
,,,,36 | 760 | 71,,,,,
Texas,21,116,197,"816 | 1,998",0 | 1 | 1,16,192 | 297 | 489,0,"2,838"
,,,,"216 | 1,650 | 132",,,,,
Utah,1,92,3,120 | 264,0 | 0 | 0,6,15 | 30 | 45,0,411
,,,,4 | 183 | 77,,,,,
Vermont,2,3,1,109 | 255,0 | 0 | 0,0,1 | 3 | 4,0,265
,,,,47 | 169 | 39,,,,,
Virginia,9,21,18,311 | 766,0 | 0 | 0,1,42 | 42 | 84,0,899
,,,,170 | 474 | 122,,,,,
Washington,30,24,21,"641 | 1,576",0 | 0 | 0,1,38 | 54 | 92,0,"1,744"
,,,,"247 | 1,210 | 119",,,,,
West Virginia,2,3,9,32 | 68,0 | 0 | 0,0,9 | 7 | 16,0,98
,,,,4 | 59 | 5,,,,,
Wisconsin,6,57,156,225 | 376,0 | 0 | 0,1,26 | 48 | 74,0,670
,,,,108 | 225 | 43,,,,,
Wyoming,14,12,11,15 | 32,0 | 0 | 0,0,3 | 26 | 29,0,98
,,,,0 | 16 | 16,,,,,
Total,713,"1,609","3,013","14,119 | 34,289",0 | 35 | 35,117,"1,538 | 2,210 | 3,748",0,"43,524"
,,,,"3,511 | 27,320 | 3,456",,,,,
,,,,,,,,,
,,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,,
